hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x12176,True,False,False,True,True,False,True,True,KA TIMES ME PLUS GI
0x12177,True,False,False,True,True,False,True,True,KA TIMES ME PLUS TE
0x12178,True,False,False,True,True,True,True,True,KA TIMES MI
0x12179,True,False,False,True,True,False,True,True,
0x1217a,True,False,False,True,True,True,True,True,KA TIMES NE
0x1217b,True,False,False,True,True,True,True,True,KA TIMES NUN
0x1217c,True,False,False,True,True,True,True,True,KA TIMES PI
0x1217d,True,False,False,True,True,False,True,True,KA TIMES RU
0x1217e,True,False,False,True,True,True,True,True,KA TIMES SA
0x1217f,True,False,False,True,True,False,True,True,KA TIMES SAR
0x12180,True,False,False,True,True,False,True,True,KA TIMES SHA
0x12181,True,False,False,True,True,True,True,True,KA TIMES SHE
0x12182,True,False,False,True,True,True,True,True,KA TIMES SHID
0x12183,True,False,False,True,True,True,True,True,KA TIMES SHU
0x12184,True,False,False,True,True,False,True,True,KA TIMES SIG
0x12185,True,False,False,True,True,False,True,True,
0x12186,True,False,False,True,True,False,True,True,
0x12187,True,False,False,True,True,False,True,True,KA TIMES U
0x12188,True,False,False,True,True,False,True,True,KA TIMES U2
0x12189,True,False,False,True,True,True,True,True,KA TIMES UD
0x1218a,True,False,False,True,True,False,True,True,
0x1218b,True,False,False,True,True,False,True,True,KA TIMES USH
0x1218c,True,False,False,True,True,False,True,True,
0x1218d,True,True,True,True,True,True,True,True,KA2
0x1218e,True,False,False,True,True,False,True,True,
0x1218f,True,True,True,True,True,True,True,True,KAB
0x12190,True,False,False,True,True,True,True,True,KAD2
0x12191,True,False,False,True,True,True,True,True,KAD3
0x12192,True,True,False,True,True,True,True,True,KAD4
0x12193,True,False,False,True,True,True,True,True,KAD5
0x12194,True,False,False,True,True,False,True,True,
0x12195,True,True,True,True,True,True,True,True,KAK
0x12196,True,False,False,True,True,False,True,True,
0x12197,True,True,True,True,True,True,True,True,KAL
0x12198,True,False,False,True,True,True,True,True,KAL TIMES BAD
0x12199,True,False,False,True,True,False,True,True,KAL CROSSING KAL
0x1219a,True,False,False,True,True,True,True,True,KAM2 (wrong!)
0x1219b,True,False,False,True,True,True,True,True,KAM4
0x1219c,True,True,True,True,True,True,True,True,KASKAL
0x1219d,True,False,False,True,True,False,True,True,KASKAL LAGAB TIMES U OVER LAGAB TIMES U
0x1219e,True,False,False,True,True,False,True,True,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U
0x1219f,True,True,False,True,True,True,True,True,KESH2
0x121a0,True,True,True,True,True,True,True,True,KI
0x121a1,True,False,False,True,True,False,True,True,KI TIMES BAD
0x121a2,True,False,False,True,True,True,True,True,KI TIMES U
0x121a3,True,False,False,True,True,True,True,True,KI TIMES UD
0x121a4,True,True,True,True,True,True,True,True,KID
0x121a5,True,True,True,True,True,True,True,True,KIN
0x121a6,True,True,True,True,True,True,True,True,KISAL
0x121a7,True,True,True,True,True,True,True,True,KISH
0x121a8,True,False,False,True,True,False,True,True,KISIM5
0x121a9,True,False,False,True,True,False,True,True,KISIM5 OVER KISIM5
0x121aa,True,True,True,True,True,True,True,True,KU
0x121ab,True,False,False,True,True,False,True,True,KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2
0x121ac,True,True,True,True,True,True,True,True,KU3
0x121ad,True,True,True,True,True,True,True,True,KU4
0x121ae,True,False,False,True,True,True,True,True,
0x121af,True,True,False,True,True,True,True,True,KU7
0x121b0,True,True,True,True,True,True,True,True,KUL
0x121b1,True,False,False,True,True,False,True,True,KUL GUNU
0x121b2,True,True,True,True,True,True,True,True,KUN
0x121b3,True,True,True,True,True,True,True,True,KUR
0x121b4,True,False,False,True,True,False,True,True,KUR OPPOSING KUR
0x121b5,True,True,False,True,True,True,True,True,KUSHU2
0x121b6,True,False,False,True,True,False,True,True,
0x121b7,True,True,True,True,True,True,True,True,LA
0x121b8,True,True,True,True,True,True,True,True,LAGAB
0x121b9,True,True,False,True,True,True,True,True,LAGAB TIMES A
0x121ba,True,False,False,True,True,False,True,True,LAGAB TIMES A PLUS DA PLUS HA
0x121bb,True,False,False,True,True,False,True,True,LAGAB TIMES A PLUS GAR
0x121bc,True,False,False,True,True,True,True,True,LAGAB TIMES A PLUS LAL
0x121bd,True,False,False,True,True,False,True,True,LAGAB TIMES AL
0x121be,True,False,False,True,True,False,True,True,LAGAB TIMES AN
0x121bf,True,False,False,True,True,False,True,True,LAGAB TIMES ASH ZIDA TENU
0x121c0,True,True,False,True,True,True,True,True,LAGAB TIMES BAD
0x121c1,True,False,False,True,True,False,True,True,LAGAB TIMES BI
0x121c2,True,False,False,True,True,False,True,True,LAGAB TIMES DAR
0x121c3,True,False,False,True,True,False,True,True,LAGAB TIMES EN
0x121c4,True,False,False,True,True,False,True,True,LAGAB TIMES GA
0x121c5,True,False,False,True,True,True,True,True,LAGAB TIMES GAR
0x121c6,True,False,False,True,True,True,True,True,LAGAB TIMES GUD
0x121c7,True,True,True,True,True,True,True,True,LAGAB TIMES GUD PLUS GUD
0x121c8,True,False,False,True,True,False,True,True,LAGAB TIMES HA
0x121c9,True,True,True,True,True,True,True,True,LAGAB TIMES HAL
0x121ca,True,False,False,True,True,False,True,True,LAGAB TIMES HI TIMES NUN
0x121cb,True,False,False,True,True,True,True,True,LAGAB TIMES IGI GUNU
0x121cc,True,False,False,True,True,True,True,True,LAGAB TIMES IM
0x121cd,True,False,False,True,True,False,True,True,
0x121ce,True,False,False,True,True,False,True,True,
0x121cf,True,False,False,True,True,False,True,True,LAGAB TIMES KI
0x121d0,True,False,False,True,True,False,True,True,LAGAB TIMES KIN
0x121d1,True,False,False,True,True,True,True,True,LAGAB TIMES KU3
0x121d2,True,True,False,True,True,True,True,True,LAGAB TIMES KUL
0x121d3,True,False,False,True,True,False,True,True,LAGAB TIMES KUL PLUS HI PLUS A
0x121d4,True,False,False,True,True,False,True,True,LAGAB TIMES LAGAB
0x121d5,True,False,False,True,True,False,True,True,LAGAB TIMES LISH
0x121d6,True,False,False,True,True,False,True,True,LAGAB TIMES LU
0x121d7,True,False,False,True,True,False,True,True,LAGAB TIMES LUL
0x121d8,True,False,False,True,True,False,True,True,LAGAB TIMES ME
0x121d9,True,False,False,True,True,True,True,True,LAGAB TIMES ME PLUS EN
0x121da,True,False,False,True,True,False,True,True,LAGAB TIMES MUSH
0x121db,True,False,False,True,True,False,True,True,LAGAB TIMES NE
0x121dc,True,False,False,True,True,False,True,True,LAGAB TIMES SHE PLUS SUM
0x121dd,True,False,False,True,True,False,True,True,LAGAB TIMES SHITA PLUS GISH PLUS ERIN2
0x121de,True,False,False,True,True,False,True,True,LAGAB TIMES SHITA PLUS GISH TENU
0x121df,True,False,False,True,True,False,True,True,LAGAB TIMES SHU2
0x121e0,True,False,False,True,True,False,True,True,LAGAB TIMES SHU2 PLUS SHU2
0x121e1,True,True,True,True,True,True,True,True,LAGAB TIMES SUM
0x121e2,True,False,False,True,True,False,True,True,
0x121e3,True,False,False,True,True,False,True,True,LAGAB TIMES TAK4
0x121e4,True,False,False,True,True,False,True,True,LAGAB TIMES TE PLUS A PLUS SU PLUS NA
0x121e5,True,True,False,True,True,True,True,True,LAGAB TIMES U
0x121e6,True,False,False,True,True,True,True,True,LAGAB TIMES U PLUS A
0x121e7,True,False,False,True,True,True,True,True,LAGAB TIMES U PLUS U PLUS U
0x121e8,True,False,False,True,True,False,True,True,LAGAB TIMES U2 PLUS ASH
0x121e9,True,False,False,True,True,False,True,True,LAGAB TIMES UD
0x121ea,True,False,False,True,True,False,True,True,LAGAB TIMES USH
0x121eb,True,False,False,True,True,False,True,True,LAGAB SQUARED
0x121ec,True,True,True,True,True,True,True,True,LAGAR
0x121ed,True,False,False,True,True,True,True,True,LAGAR TIMES SHE
0x121ee,True,False,False,True,True,False,True,True,LAGAR TIMES SHE PLUS SUM
0x121ef,True,True,True,True,True,True,True,True,LAGAR GUNU
0x121f0,True,False,False,True,True,False,True,True,LAGAR GUNU OVER LAGAR GUNU SHE
0x121f1,True,False,False,True,True,False,True,True,
0x121f2,True,True,False,True,True,True,True,True,LAL
0x121f3,True,True,False,True,True,True,True,True,LAL TIMES LAL
0x121f4,True,True,True,True,True,True,True,True,LAM
0x121f5,True,False,False,True,True,True,True,True,LAM TIMES KUR
0x121f6,True,False,False,True,True,False,True,True,
0x121f7,True,True,True,True,True,True,True,True,LI
0x121f8,True,False,False,True,True,True,True,True,LIL
0x121f9,True,False,False,True,True,True,True,True,LIMMU2
0x121fa,True,True,False,True,True,True,True,True,LISH
0x121fb,True,True,True,True,True,True,True,True,LU
0x121fc,True,False,False,True,True,False,True,True,LU TIMES BAD
0x121fd,True,True,True,True,True,True,True,True,LU2
0x121fe,True,False,False,True,True,False,True,True,LU2 TIMES AL
0x121ff,True,False,False,True,True,False,True,True,LU2 TIMES BAD
0x12200,True,False,False,True,True,False,True,True,LU2 TIMES ESH2
0x12201,True,False,False,True,True,False,True,True,LU2 TIMES ESH2 TENU
0x12202,True,False,False,True,True,False,True,True,LU2 TIMES GAN2 TENU
0x12203,True,False,False,True,True,False,True,True,LU2 TIMES HI TIMES BAD
0x12204,True,False,False,True,True,False,True,True,LU2 TIMES IM
0x12205,True,False,False,True,True,False,True,True,LU2 TIMES KAD2
0x12206,True,False,False,True,True,False,True,True,LU2 TIMES KAD3
0x12207,True,False,False,True,True,False,True,True,
0x12208,True,False,False,True,True,False,True,True,LU2 TIMES KI
0x12209,True,False,False,True,True,False,True,True,
0x1220a,True,False,False,True,True,False,True,True,LU2 TIMES LAGAB
