font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Assurbanipal,0x121f5,LAM TIMES KUR,0.0024,9,1,,,model
Assurbanipal,0x12249,NE TIMES A,0.0024,12,1,,,model
Assurbanipal,0x1225c,NINDA2 TIMES SHE PLUS ASH,0.0039,10,1,,,model
Assurbanipal,0x1229a,SAG TIMES KAK,0.0014,10,1,,,model
Assurbanipal,0x122a3,SAG TIMES UB,0.0005,14,1,,,model
Assurbanipal,0x122b1,SHA3 TIMES GISH,0.0005,8,1,,,model
Assurbanipal,0x122b4,SHA3 TIMES TUR,0.0025,11,1,,,model
Assurbanipal,0x122b5,SHA3 TIMES U,0.0025,6,1,,,model
Assurbanipal,0x122dc,SI GUNU,0.0009,8,1,,,model
Assurbanipal,0x122ef,TA GUNU,0.0006,8,1,,,model
Assurbanipal,0x12308,TUM,0.0036,8,1,,,model
Assurbanipal,0x1231e,,0.0009,11,1,,,model
Assurbanipal,0x1232f,UR2 TIMES HA,0.0009,12,1,,,model
Assurbanipal,0x1236d,ZUBUR,0.0036,3,1,,,model
Assurbanipal,0x1237b,GE22,0.0009,1,1,,,model
Esagil,0x12000,A,0.0002,3,1,,,model
Esagil,0x12009,A2,0.001,9,1,,,model
Esagil,0x1200a,AB,0.0003,5,1,,,model
Esagil,0x12014,AB TIMES U PLUS U PLUS U,0.0003,9,1,,,model
Esagil,0x12016,AB2,0.0038,3,1,,,model
Esagil,0x1201c,AD,0.0004,7,1,,,model
Esagil,0x1202d,AN,0.0008,3,1,,,model
Esagil,0x1203f,ASHGAB,0.001,6,1,,,model
Esagil,0x12047,BAR,0.0003,2,1,,,model
Esagil,0x12076,DIM2,0.0016,6,1,,,model
Esagil,0x12082,DUGUD,0.0035,6,1,,,model
Esagil,0x120a1,EZEN TIMES AN,0.0036,11,1,,,model
Esagil,0x120f0,GAD & TAK4 & GISH,0.0003,3,1,,,model
Esagil,0x120fe,GESHTIN,0.0042,6,1,,,model
Esagil,0x12107,GIDIM,0.0019,11,1,,,model
Esagil,0x12115,GISH TENU,0.0001,2,1,,,model
Esagil,0x12116,GU,0.0003,6,1,,,model
Esagil,0x1211e,GUD,0.0001,5,1,,,model
Esagil,0x12120,GUD TIMES KUR,0.0001,7,1,,,model
Esagil,0x1212d,HI,0.002,4,1,,,model
Esagil,0x12140,I A,0.001,8,1,,,model
Esagil,0x12146,IGI,0.0002,3,1,,,model
Esagil,0x12147,IGI & DIB,0.0005,9,1,,,model
Esagil,0x12148,IGI RI,0.0005,8,1,,,model
Esagil,0x1219f,KESH2,0.0046,11,1,,,model
Esagil,0x121ac,KU3,0.0003,5,1,,,model
Esagil,0x121ad,KU4,0.0019,9,1,,,model
Esagil,0x121b0,KUL,0.0002,4,1,,,model
Esagil,0x121b2,KUN,0.001,11,1,,,model
Esagil,0x121e7,LAGAB TIMES U PLUS U PLUS U,0.0041,7,1,,,model
Esagil,0x121f3,LAL TIMES LAL,0.001,4,1,,,model
Esagil,0x121f4,LAM,0.0003,6,1,,,model
Esagil,0x121f5,LAM TIMES KUR,0.0032,9,1,,,model
Esagil,0x121fc,LU TIMES BAD,0.0,8,1,,,model
Esagil,0x1221c,LUL,0.0001,9,1,,,model
Esagil,0x12223,MA2 & MUG,0.0003,5,1,,,model
Esagil,0x12226,MASH,0.0004,2,1,,,model
Esagil,0x12227,MASH2,0.0019,7,1,,,model
Esagil,0x12229,MES,0.0004,8,1,,,model
Esagil,0x1222b,MIN,0.0026,2,1,,,model
Esagil,0x1224f,NIM,0.0007,5,1,,,model
Esagil,0x12261,NU,0.0006,2,1,,,model
Esagil,0x1227f,PI,0.0003,4,1,,,model
Esagil,0x122b9,SHAR2,0.002,4,1,,,model
Esagil,0x122c1,SHESH2 & SUHUR,0.0012,10,1,,,model
Esagil,0x122d3,SHIR,0.0012,7,1,,,model
