font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Assurbanipal,0x122ee,TA TIMES MI,0.3782,12,0,,,model
Assurbanipal,0x12342,URU TIMES IGI,0.384,8,0,,,model
Esagil,0x122bf,SHEN,0.3835,9,0,,,model
Assurbanipal,0x1232b,UR2,0.3854,7,0,,,model
Assurbanipal,0x12370,,0.3891,11,0,,,model
Assurbanipal,0x12122,GUL,0.4003,7,0,,,model
Assurbanipal,0x121a8,KISIM5,0.3969,4,0,,,model
Assurbanipal,0x122c1,SHESH2 & SUHUR,0.4013,18,0,,,model
Esagil,0x1201c,AD,0.3996,7,0,,,model
Esagil,0x12445,,0.4031,8,0,,,model
Assurbanipal,0x120ac,EZEN TIMES KASKAL,0.413,13,0,,,model
Assurbanipal,0x12242,NAGA TIMES SHU TENU,0.4085,17,0,,,model
Assurbanipal,0x12184,KA TIMES SIG,0.4153,11,0,,,model
Assurbanipal,0x1225e,NINDA2 TIMES U2 PLUS ASH,0.4175,13,0,,,model
Esagil,0x1203f,ASHGAB,0.4161,6,0,,,model
Esagil,0x1226d,NUNUZ,0.4247,8,0,,,model
Esagil,0x1237c,,0.4223,11,0,,,model
Assurbanipal,0x1217b,KA TIMES NUN,0.4268,12,0,,,model
Assurbanipal,0x12240,NAGA,0.4261,12,0,,,model
Assurbanipal,0x12249,NE TIMES A,0.4256,12,0,,,model
Assurbanipal,0x1226d,NUNUZ,0.4323,8,0,,,model
Assurbanipal,0x12294,SAG NUTILLU,0.4349,6,0,,,model
Assurbanipal,0x12376,,0.4301,12,0,,,model
Esagil,0x121f4,LAM,0.4292,6,0,,,model
Assurbanipal,0x12308,TUM,0.4375,8,0,,,model
Esagil,0x12292,RU,0.4429,5,0,,,model
Assurbanipal,0x1214d,IL2,0.4525,15,0,,,model
Assurbanipal,0x12388,LAGAB TIMES GI,0.454,11,0,,,model
Esagil,0x120a1,EZEN TIMES AN,0.4492,11,0,,,model
Esagil,0x120ac,EZEN TIMES KASKAL,0.4494,13,0,,,model
Assurbanipal,0x120a1,EZEN TIMES AN,0.461,9,0,,,model
Assurbanipal,0x1226b,NUN CROSSING NUN,0.4625,10,0,,,model
Assurbanipal,0x122f1,TAB OVER TAB NI OVER NI DISH OVER DISH,0.4567,14,0,,,model
Assurbanipal,0x122fa,TAK4,0.4625,10,0,,,model
Esagil,0x12227,MASH2,0.462,7,0,,,model
Assurbanipal,0x1211e,GUD,0.4668,5,0,,,model
Assurbanipal,0x1229a,SAG TIMES KAK,0.4654,10,0,,,model
Assurbanipal,0x12320,,0.4668,12,0,,,model
Esagil,0x121ad,KU4,0.4727,9,0,,,model
Esagil,0x122fd,TE GUNU,0.4727,9,0,,,model
Assurbanipal,0x12131,HI TIMES DISH,0.4844,5,0,,,model
Assurbanipal,0x12347,URU TIMES MIN,0.479,7,0,,,model
Esagil,0x1203e,ASH2,0.478,4,0,,,model
Esagil,0x122de,SIG4,0.4785,10,0,,,model
Esagil,0x122e2,SU OVER SU,0.4795,6,0,,,model
Esagil,0x12451,,0.478,4,0,,,model
Assurbanipal,0x12011,AB TIMES IMIN,0.4888,13,0,,,model
Assurbanipal,0x12082,DUGUD,0.4883,9,0,,,model
Assurbanipal,0x12265,NUN LAGAR TIMES USH,0.4912,11,0,,,model
Assurbanipal,0x1230c,U GUD,0.4883,6,0,,,model
Esagil,0x1201d,AK,0.4932,7,0,,,model
